Color_Channel 	 Set_number 	 Precision 	 Recall 	 FScore 	 Error 
3 	 19 	 0.820445 	 0.975827 	 0.891415 	 19.589810 
3 	 20 	 0.492692 	 0.960408 	 0.651277 	 51.711537 
3 	 21 	 0.447174 	 0.951524 	 0.608418 	 56.278680 
3 	 22 	 0.466574 	 0.974867 	 0.631102 	 53.897128 
3 	 23 	 0.388649 	 0.958817 	 0.553102 	 61.773280 
3 	 24 	 0.527351 	 0.963698 	 0.681677 	 48.292088 
3 	 25 	 0.946459 	 0.963706 	 0.955005 	 8.611611 
3 	 26 	 0.707492 	 0.957328 	 0.813664 	 31.413701 
3 	 27 	 0.757562 	 0.961596 	 0.847471 	 26.468569 
3 	 28 	 0.371978 	 0.897708 	 0.526000 	 64.314783 
3 	 29 	 0.644646 	 0.967181 	 0.773643 	 36.915326 
3 	 30 	 0.528048 	 0.960936 	 0.681566 	 48.304907 
3 	 31 	 0.650094 	 0.954587 	 0.773451 	 36.940832 
3 	 32 	 0.508213 	 0.848833 	 0.635775 	 53.396576 
3 	 33 	 0.336438 	 0.936075 	 0.494975 	 67.111818 
3 	 34 	 0.392380 	 0.948349 	 0.555091 	 61.583026 
3 	 35 	 0.798741 	 0.991386 	 0.884698 	 20.676426 
3 	 36 	 0.891758 	 0.980101 	 0.933845 	 12.410017 
3 	 37 	 0.760512 	 0.973093 	 0.853769 	 25.515116 
3 	 38 	 0.532037 	 0.956341 	 0.683709 	 48.057865 
3 	 39 	 0.496191 	 0.946564 	 0.651083 	 51.732958 
3 	 40 	 0.829377 	 0.949035 	 0.885180 	 20.598777 
3 	 41 	 1.000000 	 0.535086 	 0.697141 	 31.488163 
3 	 42 	 0.834418 	 0.965677 	 0.895262 	 18.961653 
3 	 43 	 0.492081 	 0.905246 	 0.637581 	 53.202311 
3 	 44 	 0.639777 	 0.960047 	 0.767855 	 37.681485 
3 	 45 	 0.783789 	 0.965922 	 0.865376 	 23.730118 
3 	 46 	 0.955688 	 0.551987 	 0.699789 	 46.178776 
3 	 47 	 0.949508 	 0.926027 	 0.937620 	 11.743384 
3 	 48 	 0.839042 	 0.611531 	 0.707445 	 45.267755 
3 	 49 	 0.896192 	 0.947149 	 0.920966 	 14.649034 
3 	 50 	 0.810450 	 0.930615 	 0.866386 	 23.561623 
3 	 51 	 0.827430 	 0.944731 	 0.882198 	 21.077391 
3 	 52 	 0.756383 	 0.919430 	 0.829975 	 29.063516 
4 	 1 	 0.763720 	 0.883307 	 0.819172 	 17.589988 
4 	 2 	 0.006330 	 0.008849 	 0.007381 	 68.463643 
4 	 3 	 0.963093 	 0.555430 	 0.704541 	 41.509853 
4 	 4 	 0.993205 	 0.494619 	 0.660371 	 27.284107 
4 	 5 	 0.999840 	 0.728090 	 0.842597 	 25.254437 
4 	 6 	 0.113226 	 0.101811 	 0.107216 	 89.499833 
4 	 7 	 0.980988 	 0.669094 	 0.795564 	 22.521150 
4 	 8 	 0.887461 	 0.747878 	 0.811713 	 19.428176 
4 	 9 	 0.980502 	 0.438825 	 0.606300 	 34.262968 
4 	 10 	 0.999851 	 0.423731 	 0.595214 	 45.959905 
4 	 11 	 0.995174 	 0.451892 	 0.621549 	 32.960203 
4 	 12 	 0.995722 	 0.321717 	 0.486308 	 54.565279 
4 	 13 	 0.998422 	 0.321251 	 0.486096 	 54.964192 
4 	 14 	 0.953488 	 0.221988 	 0.360131 	 63.455485 
4 	 15 	 0.996146 	 0.386031 	 0.556432 	 44.736327 
4 	 16 	 0.998884 	 0.254862 	 0.406107 	 64.111837 
4 	 17 	 0.980917 	 0.741399 	 0.844503 	 12.114985 
4 	 18 	 0.214982 	 0.159563 	 0.183173 	 89.738276 
4 	 19 	 1.000000 	 0.570781 	 0.726748 	 35.368547 
4 	 20 	 0.987379 	 0.263440 	 0.415912 	 37.202870 
4 	 21 	 0.996221 	 0.321858 	 0.486529 	 31.215877 
4 	 22 	 0.986844 	 0.699853 	 0.818933 	 14.635619 
4 	 23 	 0.975714 	 0.708270 	 0.820755 	 12.333713 
4 	 24 	 0.996246 	 0.653625 	 0.789360 	 18.717172 
4 	 25 	 1.000000 	 0.565456 	 0.722417 	 41.207896 
4 	 26 	 1.000000 	 0.232920 	 0.377834 	 54.956290 
4 	 27 	 0.999960 	 0.277578 	 0.434534 	 55.243101 
4 	 28 	 0.115744 	 0.165087 	 0.136080 	 83.324681 
4 	 29 	 0.998919 	 0.381330 	 0.551955 	 40.379844 
4 	 30 	 0.996991 	 0.170852 	 0.291713 	 44.633115 
4 	 31 	 1.000000 	 0.358636 	 0.527935 	 42.367919 
4 	 32 	 0.986844 	 0.320897 	 0.484309 	 37.519608 
4 	 33 	 0.982432 	 0.444673 	 0.612234 	 19.790299 
4 	 34 	 0.996621 	 0.360665 	 0.529654 	 25.948565 
4 	 35 	 1.000000 	 0.399774 	 0.571198 	 48.025775 
4 	 36 	 1.000000 	 0.247607 	 0.396931 	 67.240115 
4 	 37 	 1.000000 	 0.308792 	 0.471873 	 52.908166 
4 	 38 	 0.999962 	 0.412629 	 0.584193 	 31.902965 
4 	 39 	 0.975611 	 0.257147 	 0.407014 	 38.207244 
4 	 40 	 0.999615 	 0.418987 	 0.590476 	 48.624078 
4 	 41 	 0.994925 	 0.229197 	 0.372567 	 52.284898 
4 	 42 	 1.000000 	 0.330252 	 0.496526 	 56.204361 
4 	 43 	 1.000000 	 0.329327 	 0.495480 	 34.671150 
4 	 44 	 0.996855 	 0.345386 	 0.513023 	 42.562963 
4 	 45 	 1.000000 	 0.608193 	 0.756368 	 30.937341 
4 	 46 	 1.000000 	 0.355098 	 0.524092 	 62.880816 
4 	 47 	 0.999675 	 0.687708 	 0.814853 	 29.784896 
4 	 48 	 0.999974 	 0.708696 	 0.829508 	 26.073469 
4 	 49 	 0.996488 	 0.915473 	 0.954264 	 7.907765 
4 	 50 	 0.993925 	 0.735976 	 0.845719 	 22.041654 
4 	 51 	 0.996704 	 0.813495 	 0.895828 	 15.805318 
4 	 52 	 0.991219 	 0.689900 	 0.813556 	 24.396565 
5 	 1 	 0.183718 	 0.262023 	 0.215992 	 85.799578 
5 	 2 	 0.216896 	 0.593451 	 0.317684 	 73.324766 
5 	 3 	 0.852519 	 0.545310 	 0.665156 	 48.920769 
5 	 4 	 0.918510 	 0.887300 	 0.902635 	 10.265566 
5 	 5 	 0.965522 	 0.653302 	 0.779303 	 34.352742 
5 	 6 	 0.762938 	 0.823475 	 0.792051 	 22.823981 
5 	 7 	 0.742710 	 0.706400 	 0.724100 	 35.255402 
5 	 8 	 0.563796 	 0.616602 	 0.589018 	 48.181646 
5 	 9 	 0.593857 	 0.659367 	 0.624900 	 47.590417 
5 	 10 	 0.899638 	 0.763929 	 0.826248 	 25.621730 
5 	 11 	 0.641117 	 0.672939 	 0.656643 	 42.151566 
5 	 12 	 0.942893 	 0.888343 	 0.914806 	 13.283554 
5 	 13 	 0.976815 	 0.902670 	 0.938280 	 9.609439 
5 	 14 	 0.901039 	 0.927083 	 0.913876 	 14.056180 
5 	 15 	 0.953572 	 0.948957 	 0.951259 	 7.068571 
5 	 16 	 0.979902 	 0.995416 	 0.987598 	 2.150204 
5 	 17 	 0.537974 	 0.778374 	 0.636222 	 39.497215 
5 	 18 	 0.986255 	 0.945154 	 0.965267 	 4.289166 
5 	 19 	 0.956029 	 0.805610 	 0.874398 	 19.071383 
5 	 20 	 0.873727 	 0.860837 	 0.867234 	 13.252255 
5 	 21 	 0.835543 	 0.865997 	 0.850498 	 13.989282 
5 	 22 	 0.582566 	 0.790880 	 0.670925 	 36.689706 
5 	 23 	 0.683347 	 0.795071 	 0.734988 	 22.858794 
5 	 24 	 0.676438 	 0.602717 	 0.637453 	 36.785354 
5 	 25 	 0.992688 	 0.668281 	 0.798804 	 31.923809 
5 	 26 	 0.939491 	 0.878638 	 0.908046 	 12.749078 
5 	 27 	 0.972504 	 0.818366 	 0.888802 	 15.658514 
5 	 28 	 0.605513 	 0.858843 	 0.710265 	 27.853327 
5 	 29 	 0.937968 	 0.882910 	 0.909607 	 11.445778 
5 	 30 	 0.855967 	 0.908371 	 0.881391 	 13.152210 
5 	 31 	 0.887743 	 0.878861 	 0.883279 	 15.343784 
5 	 32 	 0.959953 	 0.932716 	 0.946138 	 5.830408 
5 	 33 	 0.617152 	 0.889514 	 0.728716 	 23.269043 
5 	 34 	 0.752227 	 0.847224 	 0.796904 	 17.493556 
5 	 35 	 0.981178 	 0.941872 	 0.961123 	 6.096639 
5 	 36 	 0.998275 	 0.889214 	 0.940594 	 10.038040 
5 	 37 	 0.982462 	 0.752410 	 0.852183 	 19.979794 
5 	 38 	 0.820342 	 0.900085 	 0.858366 	 16.133045 
5 	 39 	 0.754276 	 0.918642 	 0.828384 	 19.408965 
5 	 40 	 0.980356 	 0.757595 	 0.854699 	 21.550917 
5 	 41 	 0.984655 	 0.995348 	 0.989972 	 1.365714 
5 	 42 	 0.993814 	 0.848557 	 0.915459 	 13.152171 
5 	 43 	 0.950400 	 0.904949 	 0.927118 	 7.355288 
5 	 44 	 0.800586 	 0.900483 	 0.847601 	 21.019394 
5 	 45 	 0.959381 	 0.873460 	 0.914406 	 12.911755 
5 	 46 	 0.997954 	 0.996241 	 0.997097 	 0.565714 
5 	 47 	 0.997882 	 0.823143 	 0.902129 	 17.022166 
5 	 48 	 0.994185 	 0.683030 	 0.809745 	 28.726531 
5 	 49 	 0.924805 	 0.612523 	 0.736947 	 39.404883 
5 	 50 	 0.885432 	 0.747372 	 0.810565 	 28.675011 
5 	 51 	 0.902651 	 0.675262 	 0.772573 	 33.212300 
5 	 52 	 0.823814 	 0.802005 	 0.812763 	 28.509201 
6 	 1 	 0.428706 	 0.913253 	 0.583500 	 58.806886 
6 	 2 	 0.224264 	 0.715871 	 0.341534 	 79.398060 
6 	 3 	 0.878959 	 0.884093 	 0.881519 	 21.176161 
6 	 4 	 0.492917 	 0.840537 	 0.621416 	 54.923590 
6 	 5 	 0.911393 	 0.793455 	 0.848345 	 26.336936 
6 	 6 	 0.463197 	 0.771399 	 0.578829 	 59.255177 
6 	 7 	 0.643975 	 0.953035 	 0.768600 	 37.583301 
6 	 8 	 0.548160 	 0.953383 	 0.696092 	 46.614937 
6 	 9 	 0.571207 	 0.883621 	 0.693870 	 46.875911 
6 	 10 	 0.784908 	 0.926848 	 0.849993 	 26.087976 
6 	 11 	 0.581368 	 0.929880 	 0.715439 	 44.304826 
6 	 12 	 0.777591 	 0.857022 	 0.815376 	 31.158186 
6 	 13 	 0.766985 	 0.771872 	 0.769421 	 37.434939 
6 	 14 	 0.784481 	 0.841548 	 0.812013 	 31.343953 
6 	 15 	 0.626963 	 0.622190 	 0.624567 	 54.370612 
6 	 16 	 0.779716 	 0.574787 	 0.661749 	 50.537959 
6 	 17 	 0.402068 	 0.842968 	 0.544451 	 62.594786 
6 	 18 	 0.612840 	 0.927305 	 0.737969 	 41.525292 
6 	 19 	 0.809362 	 0.906682 	 0.855263 	 25.287453 
6 	 20 	 0.459721 	 0.841449 	 0.594591 	 57.692695 
6 	 21 	 0.420189 	 0.852493 	 0.562919 	 60.829007 
6 	 22 	 0.433436 	 0.852658 	 0.574721 	 59.676553 
6 	 23 	 0.359073 	 0.844974 	 0.503979 	 66.312033 
6 	 24 	 0.498880 	 0.859875 	 0.631423 	 53.862795 
6 	 25 	 0.943695 	 0.913725 	 0.928468 	 13.351368 
6 	 26 	 0.701919 	 0.932031 	 0.800772 	 33.226094 
6 	 27 	 0.748815 	 0.917393 	 0.824576 	 29.848671 
6 	 28 	 0.350380 	 0.817471 	 0.490517 	 67.504312 
6 	 29 	 0.628852 	 0.903336 	 0.741508 	 41.079644 
6 	 30 	 0.499061 	 0.855634 	 0.630420 	 53.969788 
6 	 31 	 0.621052 	 0.842053 	 0.714862 	 44.374716 
6 	 32 	 0.422113 	 0.599982 	 0.495571 	 67.059234 
6 	 33 	 0.296396 	 0.777735 	 0.429217 	 72.674947 
6 	 34 	 0.354194 	 0.805439 	 0.492020 	 67.372230 
6 	 35 	 0.788758 	 0.932729 	 0.854723 	 25.369726 
6 	 36 	 0.880890 	 0.879814 	 0.880351 	 21.372522 
6 	 37 	 0.734090 	 0.845953 	 0.786062 	 35.246925 
6 	 38 	 0.512713 	 0.885058 	 0.649292 	 51.929527 
6 	 39 	 0.467896 	 0.845124 	 0.602321 	 56.905577 
6 	 40 	 0.814254 	 0.855876 	 0.834546 	 28.393000 
6 	 41 	 0.616007 	 0.758100 	 0.679706 	 48.390204 
6 	 42 	 0.833499 	 0.959291 	 0.891982 	 19.497531 
6 	 43 	 0.467000 	 0.818680 	 0.594741 	 57.677439 
6 	 44 	 0.629361 	 0.917877 	 0.746719 	 40.418840 
6 	 45 	 0.774202 	 0.913598 	 0.838144 	 27.861679 
6 	 46 	 0.957470 	 0.576183 	 0.719430 	 43.819592 
6 	 47 	 0.947989 	 0.897546 	 0.922078 	 14.457812 
6 	 48 	 0.819983 	 0.534368 	 0.647059 	 52.173878 
6 	 49 	 0.896780 	 0.953169 	 0.924115 	 14.106477 
6 	 50 	 0.812888 	 0.946509 	 0.874624 	 22.274654 
6 	 51 	 0.828518 	 0.951978 	 0.885968 	 20.471946 
6 	 52 	 0.758027 	 0.927687 	 0.834319 	 28.426430 
7 	 1 	 0.438167 	 0.949126 	 0.599550 	 57.188784 
7 	 2 	 0.223101 	 0.711201 	 0.339654 	 79.543156 
7 	 3 	 0.879902 	 0.892328 	 0.886071 	 20.446516 
7 	 4 	 0.499923 	 0.864427 	 0.633484 	 53.642390 
7 	 5 	 0.917042 	 0.852738 	 0.883722 	 20.833126 
7 	 6 	 0.430828 	 0.677070 	 0.526584 	 64.261022 
7 	 7 	 0.644211 	 0.954016 	 0.769086 	 37.519049 
7 	 8 	 0.547509 	 0.950882 	 0.694901 	 46.754969 
7 	 9 	 0.573388 	 0.891530 	 0.697913 	 46.400406 
7 	 10 	 0.785651 	 0.930942 	 0.852148 	 25.761520 
7 	 11 	 0.584781 	 0.943028 	 0.721903 	 43.517358 
7 	 12 	 0.775721 	 0.849467 	 0.810921 	 31.802650 
7 	 13 	 0.767080 	 0.776624 	 0.771823 	 37.157085 
7 	 14 	 0.785711 	 0.751906 	 0.768437 	 36.453096 
7 	 15 	 0.626417 	 0.622470 	 0.624437 	 54.425306 
7 	 16 	 0.785945 	 0.597111 	 0.678637 	 48.638367 
7 	 17 	 0.412665 	 0.880794 	 0.562017 	 60.916320 
7 	 18 	 0.605256 	 0.898232 	 0.723198 	 43.358591 
7 	 19 	 0.811051 	 0.916697 	 0.860644 	 24.462184 
7 	 20 	 0.466322 	 0.864087 	 0.605743 	 56.554464 
7 	 21 	 0.431566 	 0.893097 	 0.581929 	 58.963323 
7 	 22 	 0.443477 	 0.888150 	 0.591568 	 57.998088 
7 	 23 	 0.367298 	 0.875567 	 0.517505 	 65.092316 
7 	 24 	 0.502782 	 0.873398 	 0.638185 	 53.137205 
7 	 25 	 0.942084 	 0.886790 	 0.913601 	 15.905580 
7 	 26 	 0.690422 	 0.882717 	 0.774817 	 36.759083 
7 	 27 	 0.746472 	 0.906073 	 0.818566 	 30.714255 
