alpha_value 	 Set_number 	 Precision 	 Recall 	 FScore 	 Error 	 sky_Error 	 cloud_Error 
0.020000 	 44 	 0.776690 	 0.999910 	 0.874277 	 18.667266 	 18.661442 	 0.005824 
0.020000 	 45 	 0.923128 	 0.999523 	 0.959808 	 6.609828 	 6.572177 	 0.037651 
0.020000 	 46 	 0.992311 	 0.999431 	 0.995858 	 0.810612 	 0.755102 	 0.055510 
0.020000 	 47 	 0.986262 	 0.999467 	 0.992820 	 1.377715 	 1.326871 	 0.050844 
0.020000 	 48 	 0.964108 	 0.991508 	 0.977616 	 4.063673 	 3.303673 	 0.760000 
0.020000 	 49 	 0.966472 	 0.988184 	 0.977208 	 4.153950 	 3.089183 	 1.064768 
0.020000 	 50 	 0.903498 	 0.996916 	 0.947910 	 8.993641 	 8.740453 	 0.253188 
0.020000 	 51 	 0.935355 	 0.994600 	 0.964068 	 6.193659 	 5.742509 	 0.451149 
0.020000 	 52 	 0.848498 	 0.998309 	 0.917328 	 13.882967 	 13.752540 	 0.130427 
0.030000 	 1 	 0.481939 	 0.980309 	 0.646196 	 48.420034 	 47.531841 	 0.888193 
0.030000 	 2 	 0.322016 	 0.998674 	 0.487001 	 60.518199 	 60.480060 	 0.038139 
0.030000 	 3 	 0.887506 	 0.874324 	 0.880866 	 21.073220 	 9.874906 	 11.198313 
0.030000 	 4 	 0.659318 	 0.999765 	 0.794611 	 27.716775 	 27.704173 	 0.012602 
0.030000 	 5 	 0.949363 	 1.000000 	 0.974024 	 4.951769 	 4.951769 	 0.000000 
0.030000 	 6 	 0.606569 	 0.990603 	 0.752417 	 34.411323 	 33.915331 	 0.495992 
0.030000 	 7 	 0.678808 	 0.978844 	 0.801673 	 31.719070 	 30.333534 	 1.385537 
0.030000 	 8 	 0.582486 	 0.966284 	 0.726831 	 40.670999 	 38.783041 	 1.887958 
0.030000 	 9 	 0.612750 	 0.960981 	 0.748338 	 38.858956 	 36.513078 	 2.345877 
0.030000 	 10 	 0.840609 	 0.988370 	 0.908521 	 15.872431 	 14.944963 	 0.927468 
0.030000 	 11 	 0.626834 	 0.950549 	 0.755475 	 36.855207 	 33.893311 	 2.961897 
0.030000 	 12 	 0.851556 	 0.998557 	 0.919216 	 14.090595 	 13.974747 	 0.115848 
0.030000 	 13 	 0.901975 	 0.998489 	 0.947781 	 8.903064 	 8.780769 	 0.122295 
0.030000 	 14 	 0.848920 	 0.999207 	 0.917953 	 14.368386 	 14.304565 	 0.063821 
0.030000 	 15 	 0.816909 	 0.999966 	 0.899216 	 16.293061 	 16.290612 	 0.002449 
0.030000 	 16 	 0.960851 	 0.999829 	 0.979953 	 3.518367 	 3.503673 	 0.014694 
0.030000 	 17 	 0.490925 	 0.999603 	 0.658465 	 46.013119 	 45.995504 	 0.017615 
0.030000 	 18 	 0.897685 	 0.999909 	 0.946044 	 7.192300 	 7.186566 	 0.005734 
0.030000 	 19 	 0.884823 	 0.986302 	 0.932811 	 11.708028 	 10.579290 	 1.128739 
0.030000 	 20 	 0.683571 	 0.990265 	 0.808820 	 23.537399 	 23.047910 	 0.489489 
0.030000 	 21 	 0.562158 	 0.995681 	 0.718598 	 35.831519 	 35.633060 	 0.198459 
0.030000 	 22 	 0.523103 	 0.999397 	 0.686749 	 43.116696 	 43.088176 	 0.028520 
0.030000 	 23 	 0.541319 	 0.998697 	 0.702089 	 33.790169 	 33.738230 	 0.051938 
0.030000 	 24 	 0.726492 	 0.996423 	 0.840312 	 20.319865 	 20.127946 	 0.191919 
0.030000 	 25 	 0.988193 	 0.985889 	 0.987040 	 2.455218 	 1.117094 	 1.338124 
0.030000 	 26 	 0.820840 	 0.997238 	 0.900481 	 15.791912 	 15.593997 	 0.197915 
0.030000 	 27 	 0.880343 	 0.994800 	 0.934079 	 10.737146 	 10.339536 	 0.397609 
0.030000 	 28 	 0.495945 	 0.994565 	 0.661854 	 40.397917 	 40.181876 	 0.216041 
0.030000 	 29 	 0.809537 	 0.999355 	 0.894487 	 15.377951 	 15.335896 	 0.042055 
0.030000 	 30 	 0.591118 	 0.997484 	 0.742327 	 37.253386 	 37.118047 	 0.135338 
0.030000 	 31 	 0.730723 	 0.998989 	 0.844053 	 24.385504 	 24.318725 	 0.066779 
0.030000 	 32 	 0.791734 	 0.992336 	 0.880757 	 14.752384 	 14.331599 	 0.420785 
0.030000 	 33 	 0.419649 	 0.999329 	 0.591084 	 48.579555 	 48.555993 	 0.023562 
0.030000 	 34 	 0.484972 	 0.996953 	 0.652522 	 43.012233 	 42.888809 	 0.123425 
0.030000 	 35 	 0.932083 	 0.999979 	 0.964838 	 5.831749 	 5.830088 	 0.001661 
